series,mass,rows,base_error,rc_error,forecast_error,merged_error,top_error,stack_error
HOBBIES_1_148,1419.0,1140,1040.7079804530647,1041.4846518939312,1040.7598218111862,1041.4846518939312,1042.397837522269,1029.0244389382244
HOBBIES_1_150,763.0,1140,777.0020500854656,777.0769062829686,776.7335745114367,777.0769062829686,777.86381345572,775.2226574610081
HOBBIES_1_151,596.0,1140,602.331213114016,602.4372525706925,602.305860959634,602.4372525706925,602.9178828936957,600.3021740723912
HOBBIES_1_152,500.0,1140,492.125276871006,491.92867018278025,491.3022410651201,491.92867018278025,492.5386180584626,490.71607161567
HOBBIES_1_154,1295.0,1140,1007.2392321345145,1007.7924106471467,1003.8681742483918,1007.7924106471467,1007.2291349353308,1000.4383571325545
HOBBIES_1_157,501.0,1140,506.03017784188364,506.121859631183,505.05080294058973,506.121859631183,506.8030589533353,502.302687561208
HOBBIES_1_158,6584.0,1140,2459.3582905943576,2809.487810402913,2462.9139461121067,2809.487810402913,2466.9199607357878,2468.6939372747515
HOBBIES_1_159,628.0,1140,606.0953376326497,606.7655054602671,605.9697257116898,606.7655054602671,607.1340403533136,603.1242580115097
HOBBIES_1_162,142.0,1140,141.99334631366207,141.9935490471744,141.993081291629,141.9935490471744,141.99334631366207,141.99008599693917
HOBBIES_1_163,238.0,1140,238.059931169871,238.05811302455044,238.0000000582944,238.05811302455044,238.059931169871,238.004816339134
HOBBIES_1_164,829.0,1140,683.3472477905673,686.2468559868383,682.5823047524589,686.2468559868383,685.3762566025998,682.1956032470036
HOBBIES_1_165,158.0,1140,158.00363360146235,158.00363628745515,158.00000000353435,158.00363628745515,158.00363360146235,158.00159522838567
HOBBIES_1_167,1703.0,1140,1569.749249710033,1571.160145450519,1568.373389584462,1571.160145450519,1573.5650897900687,1568.376707954464
HOBBIES_1_168,837.0,1140,789.155876629236,788.8188481520608,788.6418960345321,788.8188481520608,788.7160642610131,791.1299909142351
