series,mass,noq_error
24::21,3.7,1.314787367535568
24::214,2.3,1.3225575901786863
24::215,14.5,6.475212015439721
24::219,3.1,1.0567542459718244
24::222,3.0,0.9887133504908349
24::223,3.5,0.9322685962625368
24::23,4.0,1.0775232751264179
24::240,12.6,4.832477592191534
24::250,3.36,0.9051636065596449
24::253,1.4,2.731645280071292
24::26,2.95,0.7333652264477954
24::27,0.9,0.970943622141597
24::296,3.6799999999999997,1.4436369260794901
24::300,44.33,7.296698116403888
24::306,3.67,1.9477403427206021
24::345,1.97,0.728289409898687
24::351,8.1,2.7302478331608064
24::370,4.6,1.2831311283153233
24::379,3.6999999999999997,2.1092472825906814
24::41,3.2,3.624706698105721
24::411,4.0,2.037831097114509
24::419,4.06,1.057779009407581
24::426,4.1,0.9337717184496453
24::443,4.7,1.6793617220768526
24::468,7.5,1.7650573718875364
24::481,13.0,3.713119596301381
24::486,7.9,1.2316917155627571
24::500,1.1,1.520121230819427
24::549,5.7,3.736240610076476
24::554,8.6,1.5710611289851442
24::567,4.2,1.5374691982361293
24::578,7.6,2.5947438228187805
24::580,13.0,3.007399519073671
24::596,5.3,1.6422165495565266
24::600,14.5,3.8022994817469637
24::631,2.6,1.054055229930333
24::635,3.52,0.7545939308756553
24::644,2.3,1.1355206363501846
24::645,2.8000000000000003,1.0073060896319828
24::686,3.9000000000000004,1.7954109168023407
24::691,25.5,5.683241088688504
24::70,21.7,6.701531938998154
24::740,4.0,0.9698913057638989
24::76,7.7,1.699751783752987
24::760,3.2,1.1241065516242497
24::769,5.8,2.373440384749493
24::774,3.6,1.1453013982035873
24::775,8.7,2.239669592238033
24::783,8.3,2.52092719597043
24::79,1.5,0.8252787865156107
24::796,15.700000000000001,2.9799036795730856
24::810,8.4,3.250168557896261
24::834,9.0,1.6584621278091036
24::853,4.5,1.6547931765258772
24::95,6.0,2.2582769448457585
24::99,4.300000000000001,1.7228021122082158
29::104,24.5,8.390639746640119
29::108,4.4,1.1562569870038062
29::11,5.8999999999999995,1.9478366681161066
29::110,5.0,1.8301983950610166
29::116,9.7,2.0292763001289864
